id,name,emoji,unit,calories,carbs,protein,fat,fiber,vitA,vitB1,vitB2,vitB3,vitB5,vitB6,vitB7,folate,vitB12,vitC,vitD,vitE,vitK,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium,chromium,iodine,omega3,water
banana,Banana,🍌,g,89,22.8,1.1,0.3,2.6,3,0.031,0.073,0.665,0.334,0.367,2.6,20,0,8.7,0,0.1,0.5,5,0.26,27,22,358,1,0.15,0.078,0.27,1,0,0,0.027,74.9
rice,Rice (Basmati uncooked),🍚,g,356,78.9,7.4,0.6,2.2,0,0.07,0.05,1.6,1.01,0.16,0,8,0,0,0,0.11,0.1,28,0.8,25,115,115,5,1.09,0.11,1.09,15.1,0,0,0.01,12
eggs,Eggs (without shell),🥚,g,143,0.7,12.6,9.5,0.0,160,0.04,0.457,0.075,1.53,0.17,20,47,0.89,0,2,1.05,0.3,56,1.75,12,198,138,142,1.29,0.072,0.028,30.7,0,0,0.074,75.8
milk,Milk (Full Cream),🥛,ml,62.5,4.75,3,3.5,0.0,46,0.04,0.18,0.09,0.37,0.04,2,5,0.45,0.5,0.1,0.07,0.3,113,0.03,11,84,132,43,0.37,0.010,0.003,2,0,0,0.075,87.8
amul_milk,Amul Gold Milk,🥛,ml,62,4.7,3,3.5,0.0,52,0.04,0.18,0.09,0.37,0.04,2,5,0.45,0.5,0.1,0.07,0.3,120,0.03,11,86,135,44,0.38,0.010,0.003,2,0,0,0.075,87
amul_200ml,Amul Taaza (200ml pack),🥛,ml,58,4.8,3,3,0.0,26,0.04,0.17,0.09,0.34,0.04,1.5,5,0.4,0.5,0.1,0.04,0.2,120,0.03,11,85,140,42,0.35,0.009,0.003,2,0,0,0.05,89
oats,Oats,🥣,g,407,68.5,11.5,9.5,10.6,0,0.76,0.14,0.96,1.35,0.12,20,56,0,0,0,0.42,2,54,4.72,177,523,429,2,3.97,0.63,4.92,0,0,0,0.11,8.2
chicken,Chicken Breast (boneless),🍗,g,165,0,31,3.6,0.0,6,0.06,0.09,9.9,0.91,0.6,2,4,0.34,0,0.1,0.3,0,11,0.7,29,210,256,74,0.9,0.04,0.017,27.6,0,0,0.02,65
chicken_nb,Chicken (with bone),🍗,g,239,0,27,14,0.0,16,0.06,0.12,6.8,0.8,0.35,2,6,0.3,0,0.1,0.2,1.5,15,1.3,23,170,229,82,1.5,0.048,0.019,22,0,0,0.08,55
dahi,Dahi (Curd),🥄,g,61.8,5.5,3.2,3.0,0.0,27,0.03,0.14,0.08,0.39,0.03,2,7,0.37,0.5,0.1,0.05,0.2,110,0.05,11,87,141,36,0.52,0.009,0.004,2.2,0,0,0.03,85.1
guava,Guava,🍈,g,42,11,0.9,0.3,3.6,31,0.067,0.04,1.08,0.45,0.11,0,49,0,228.3,0,0.73,2.6,18,0.26,22,40,417,2,0.23,0.23,0.15,0.6,0,0,0.11,80.8
almonds,Almonds,🥜,g,518,8.64,23.9,43.1,16.9,0,0.21,1.14,3.62,0.47,0.14,4,44,0,0,0,25.63,0,269,3.71,270,481,733,1,3.12,1.03,2.18,4.1,0,0,0.003,4.4
kaju,Kaju (Cashew),🥜,g,554,33,18,44,0.0,0,0.42,0.06,1.06,0.86,0.42,10,25,0,0,0,0.9,34.1,37,6.68,292,593,660,12,5.78,2.2,1.66,19.9,0,0,0.062,5.2
kismis,Kismis (Raisins),🍇,g,299,79.2,3.1,0.5,3.7,0,0.106,0.125,0.766,0.095,0.17,0,5,0,2.3,0,0.12,3.5,50,1.88,32,101,749,11,0.22,0.318,0.3,0.6,0,0,0.01,15.4
dates,Dates (Khajoor),🌴,g,350,84.7,1.0,0.85,4.92,7,0.05,0.06,1.61,0.81,0.25,0,15,0,0.4,0,0.05,2.7,64,0.9,54,62,696,1,0.44,0.362,0.3,3,0,0,0.003,21.3
peanut_butter,Peanut Butter (MyFitness),🥜,g,630,25,31,49,8,0,0.15,0.13,13.1,1.77,0.44,6,87,0,0,0,9.1,0.3,43,1.74,154,319,649,426,2.51,0.47,1.85,4.2,0,0,0.003,1.1
